,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
GIMAP5,3.30E-20,0.825609391,0.415,0.241,4.53E-16,0,GIMAP5
TMEM123,4.38E-20,0.769931577,0.55,0.385,6.01E-16,0,TMEM123
RPL26,5.43E-20,0.250705602,0.996,0.991,7.44E-16,0,RPL26
NDFIP1,1.83E-19,1.057634501,0.444,0.283,2.50E-15,0,NDFIP1
C12orf57,2.04E-19,1.108486309,0.425,0.258,2.80E-15,0,C12orf57
FLT3LG,5.36E-19,1.358684399,0.276,0.137,7.35E-15,0,FLT3LG
HNRNPA1,1.45E-18,0.322240839,0.961,0.919,1.99E-14,0,HNRNPA1
RHOH,1.48E-18,1.046770367,0.37,0.208,2.03E-14,0,RHOH
CD3G,2.25E-18,0.873794973,0.338,0.178,3.09E-14,0,CD3G
TOMM7,4.08E-18,0.470323636,0.838,0.758,5.60E-14,0,TOMM7
TRAT1,2.36E-16,1.097414622,0.27,0.139,3.24E-12,0,TRAT1
RGS10,3.07E-16,0.684838542,0.531,0.377,4.21E-12,0,RGS10
HINT1,6.47E-16,0.512988164,0.734,0.61,8.88E-12,0,HINT1
GYPC,7.41E-16,0.887812626,0.401,0.255,1.02E-11,0,GYPC
DNAJB1,2.55E-15,0.99548375,0.395,0.256,3.50E-11,0,DNAJB1
EIF4A2,6.78E-15,0.537957894,0.74,0.606,9.30E-11,0,EIF4A2
RPL23,2.40E-14,0.314887705,0.905,0.841,3.29E-10,0,RPL23
EEF1D,1.04E-13,0.289487423,0.963,0.967,1.42E-09,0,EEF1D
COMMD6,2.21E-13,0.503859372,0.68,0.575,3.04E-09,0,COMMD6
OCIAD2,3.93E-13,0.759224968,0.325,0.192,5.39E-09,0,OCIAD2
HSPA8,7.47E-13,0.418456424,0.769,0.642,1.02E-08,0,HSPA8
PABPC1,2.08E-12,0.371103759,0.893,0.849,2.85E-08,0,PABPC1
TRAF3IP3,3.20E-12,0.726235474,0.564,0.454,4.39E-08,0,TRAF3IP3
FYB,3.82E-12,0.538517062,0.462,0.338,5.23E-08,0,FYB
EVL,5.59E-12,0.5128033,0.633,0.497,7.67E-08,0,EVL
SOD1,7.30E-12,0.577775007,0.598,0.483,1.00E-07,0,SOD1
PRDX2,1.35E-11,0.759519406,0.38,0.259,1.85E-07,0,PRDX2
ZFP36L2,1.78E-11,0.458361748,0.732,0.624,2.44E-07,0,ZFP36L2
SLC2A3,3.36E-11,0.723303245,0.339,0.222,4.60E-07,0,SLC2A3
CD2,8.35E-11,0.318697585,0.423,0.282,1.14E-06,0,CD2
SRSF5,8.43E-11,0.3049222,0.788,0.715,1.16E-06,0,SRSF5
PEBP1,1.31E-10,0.538995999,0.471,0.35,1.79E-06,0,PEBP1
CXCR4,1.72E-10,0.326451328,0.697,0.567,2.36E-06,0,CXCR4
ACAP1,2.04E-10,0.873620199,0.392,0.272,2.80E-06,0,ACAP1
COX7C,3.57E-10,0.405238033,0.757,0.677,4.90E-06,0,COX7C
LAT,5.93E-10,0.701844982,0.303,0.191,8.14E-06,0,LAT
ST13,6.06E-10,0.727586661,0.48,0.376,8.31E-06,0,ST13
GIMAP7,7.62E-10,0.321318334,0.621,0.512,1.05E-05,0,GIMAP7
PSIP1,1.52E-09,0.915515313,0.26,0.164,2.09E-05,0,PSIP1
SNRPD2,4.40E-09,0.447988979,0.636,0.546,6.03E-05,0,SNRPD2
CYTIP,4.98E-09,0.404120919,0.424,0.314,6.83E-05,0,CYTIP
DDX5,5.91E-09,0.29962843,0.87,0.794,8.10E-05,0,DDX5
PPA1,8.43E-09,0.587729059,0.387,0.291,0.000115598,0,PPA1
BTG2,8.70E-09,0.637509194,0.437,0.336,0.000119364,0,BTG2
CD69,1.27E-08,0.39005115,0.455,0.328,0.000173989,0,CD69
JUN,1.42E-08,0.328960332,0.776,0.731,0.000195008,0,JUN
RSL1D1,1.66E-08,0.642623911,0.405,0.301,0.000227503,0,RSL1D1
EEF1G,2.13E-07,0.709541693,0.308,0.223,0.00292453,0,EEF1G
NBEAL1,3.15E-07,0.306253971,0.741,0.666,0.004316249,0,NBEAL1
UXT,4.94E-07,0.455069562,0.471,0.387,0.006775685,0,UXT
EIF3E,9.10E-07,0.542893764,0.433,0.356,0.012481555,0,EIF3E
CCDC109B,2.05E-06,0.689172996,0.387,0.306,0.028074876,0,CCDC109B
STK17A,4.11E-06,0.354691392,0.389,0.294,0.056331171,0,STK17A
SPOCK2,6.07E-06,0.602158095,0.27,0.188,0.083300108,0,SPOCK2
BTF3,9.12E-06,0.252218985,0.912,0.89,0.125035129,0,BTF3
NDUFA2,1.18E-05,0.267304829,0.192,0.281,0.162312061,0,NDUFA2
CUTA,2.42E-05,0.488752015,0.485,0.418,0.331610452,0,CUTA
RPL41,2.45E-05,0.310900495,0.585,0.528,0.336425952,0,RPL41
MZT2B,3.04E-05,0.49217312,0.427,0.359,0.416536015,0,MZT2B
RARRES3,3.35E-05,0.255145893,0.541,0.448,0.459912174,0,RARRES3
CITED2,4.60E-05,0.616024769,0.278,0.212,0.631233359,0,CITED2
SNHG8,6.30E-05,0.75286992,0.301,0.233,0.864411479,0,SNHG8
RPL39,9.96E-05,0.545513693,0.325,0.257,1,0,RPL39
TMA7,0.000146656,0.33721555,0.727,0.654,1,0,TMA7
MZT2A,0.000178878,0.463857853,0.308,0.245,1,0,MZT2A
SBDS,0.000227903,0.360287796,0.254,0.19,1,0,SBDS
CCNI,0.00025411,0.299968574,0.675,0.615,1,0,CCNI
EIF2S3,0.000324139,0.404738746,0.256,0.196,1,0,EIF2S3
TOMM20,0.000350396,0.462000009,0.313,0.256,1,0,TOMM20
SON,0.000486901,0.491181039,0.354,0.301,1,0,SON
BIN1,0.000603342,0.398100437,0.3,0.233,1,0,BIN1
SF1,0.000648564,0.451299535,0.348,0.292,1,0,SF1
CDC42SE2,0.000703484,0.343686462,0.279,0.217,1,0,CDC42SE2
CMPK1,0.000869622,0.340508653,0.421,0.362,1,0,CMPK1
GIMAP4,0.000986178,0.308427066,0.494,0.447,1,0,GIMAP4
ZFAS1,0.001550703,0.290986622,0.519,0.481,1,0,ZFAS1
MRPS21,0.001636353,0.736817309,0.265,0.212,1,0,MRPS21
PCNP,0.002450944,0.584695006,0.291,0.245,1,0,PCNP
NDUFS5,0.002593314,0.373706644,0.431,0.386,1,0,NDUFS5
Sep 01,0.003026679,0.617594785,0.269,0.221,1,0,Sep 01
C1QBP,0.008905936,0.26435578,0.399,0.364,1,0,C1QBP
GIMAP1,0.009267642,0.255372118,0.352,0.316,1,0,GIMAP1
S100A8,0,6.645056088,0.975,0.121,0,1,S100A8
LGALS2,0,5.65179048,0.909,0.059,0,1,LGALS2
S100A9,0,6.181446733,0.996,0.215,0,1,S100A9
FCN1,1.70946713461071e-321,4.061782347,0.952,0.15,2.34436322840513e-317,1,FCN1
CD14,1.03E-295,5.984176574,0.667,0.027,1.42E-291,1,CD14
TYROBP,1.01E-284,3.271999696,0.994,0.265,1.38E-280,1,TYROBP
MS4A6A,1.66E-278,5.345349717,0.686,0.041,2.28E-274,1,MS4A6A
CST3,2.08E-269,3.203630624,0.992,0.266,2.85E-265,1,CST3
LYZ,3.89E-268,4.742357926,1,0.516,5.34E-264,1,LYZ
TYMP,8.82E-241,3.129667452,0.919,0.222,1.21E-236,1,TYMP
CFD,9.74E-233,3.156349199,0.786,0.106,1.34E-228,1,CFD
LST1,1.51E-229,2.250616469,0.958,0.223,2.06E-225,1,LST1
LGALS1,2.37E-229,2.794570559,0.979,0.365,3.25E-225,1,LGALS1
AIF1,1.15E-227,2.519027492,0.958,0.244,1.58E-223,1,AIF1
GSTP1,1.20E-217,2.904991057,0.944,0.352,1.65E-213,1,GSTP1
GRN,1.88E-217,3.632284705,0.759,0.127,2.58E-213,1,GRN
GPX1,1.15E-216,2.607665335,0.923,0.312,1.58E-212,1,GPX1
FTL,2.12E-214,2.624513196,1,0.987,2.90E-210,1,FTL
S100A6,2.14E-206,2.119555582,0.996,0.735,2.94E-202,1,S100A6
FTH1,2.11E-200,2.216562238,1,0.987,2.90E-196,1,FTH1
FCER1G,1.82E-194,2.031215975,0.94,0.229,2.50E-190,1,FCER1G
CTSS,8.86E-185,2.352561157,0.944,0.429,1.22E-180,1,CTSS
CD68,1.83E-180,2.920149304,0.709,0.114,2.51E-176,1,CD68
CEBPD,2.70E-179,3.269655752,0.692,0.121,3.70E-175,1,CEBPD
S100A4,1.24E-177,1.695793034,1,0.771,1.70E-173,1,S100A4
LGALS3,3.26E-173,3.11013918,0.715,0.142,4.47E-169,1,LGALS3
NPC2,1.52E-172,2.515779307,0.879,0.315,2.08E-168,1,NPC2
AP1S2,2.83E-172,2.985212782,0.765,0.194,3.88E-168,1,AP1S2
OAZ1,2.02E-170,1.475492756,0.996,0.893,2.77E-166,1,OAZ1
CDA,1.73E-167,3.948931421,0.543,0.058,2.38E-163,1,CDA
PSAP,1.89E-167,2.15036735,0.923,0.417,2.59E-163,1,PSAP
S100A11,4.23E-167,2.062130797,0.95,0.432,5.80E-163,1,S100A11
SAT1,5.37E-163,2.0401221,0.967,0.507,7.36E-159,1,SAT1
NCF2,1.37E-161,3.613086356,0.588,0.084,1.87E-157,1,NCF2
CFP,1.77E-161,2.977920828,0.647,0.11,2.43E-157,1,CFP
CSF3R,2.66E-158,4.411381115,0.464,0.038,3.65E-154,1,CSF3R
COTL1,3.63E-156,1.7812638,0.973,0.553,4.97E-152,1,COTL1
BLVRB,1.16E-155,3.646675756,0.551,0.075,1.59E-151,1,BLVRB
SERPINA1,5.50E-155,2.500385291,0.711,0.143,7.54E-151,1,SERPINA1
ASGR1,1.52E-150,5.68257639,0.37,0.015,2.09E-146,1,ASGR1
NUP214,1.10E-149,3.694531133,0.514,0.062,1.50E-145,1,NUP214
GABARAP,3.29E-147,2.124317663,0.875,0.404,4.51E-143,1,GABARAP
ALDH2,4.26E-146,3.823557033,0.441,0.038,5.85E-142,1,ALDH2
FCGRT,1.67E-145,3.093648778,0.653,0.14,2.28E-141,1,FCGRT
IFI30,1.24E-142,2.807429937,0.555,0.079,1.71E-138,1,IFI30
CYBA,1.35E-142,1.357074419,0.99,0.815,1.85E-138,1,CYBA
FPR1,8.98E-140,4.098534526,0.426,0.038,1.23E-135,1,FPR1
FOLR3,7.07E-139,7.280841881,0.299,0.004,9.70E-135,1,FOLR3
PYCARD,6.83E-138,2.085587772,0.809,0.274,9.37E-134,1,PYCARD
TKT,1.16E-137,2.307122594,0.782,0.255,1.60E-133,1,TKT
SPI1,1.72E-135,2.54042968,0.632,0.121,2.36E-131,1,SPI1
RAC1,1.67E-130,2.08478691,0.852,0.348,2.29E-126,1,RAC1
TSPO,3.09E-128,2.142204035,0.848,0.395,4.23E-124,1,TSPO
SLC7A7,1.48E-125,3.36644816,0.47,0.063,2.03E-121,1,SLC7A7
RBP7,6.65E-125,4.982736871,0.312,0.013,9.13E-121,1,RBP7
BRI3,8.27E-125,2.702095242,0.588,0.12,1.13E-120,1,BRI3
TNFSF13B,1.27E-121,3.453639407,0.507,0.085,1.74E-117,1,TNFSF13B
S100A12,3.38E-121,6.737729969,0.277,0.006,4.64E-117,1,S100A12
IGSF6,1.68E-119,3.799466497,0.403,0.043,2.31E-115,1,IGSF6
IFITM3,1.27E-118,2.213406875,0.624,0.137,1.75E-114,1,IFITM3
RNF130,5.88E-115,3.008345716,0.526,0.103,8.06E-111,1,RNF130
GAPDH,1.12E-113,1.329729136,0.969,0.825,1.53E-109,1,GAPDH
TALDO1,1.66E-113,1.907090743,0.755,0.285,2.28E-109,1,TALDO1
VCAN,5.25E-113,3.86807778,0.37,0.036,7.20E-109,1,VCAN
BST1,5.38E-112,4.505743109,0.316,0.02,7.38E-108,1,BST1
MNDA,4.18E-109,3.313555974,0.424,0.06,5.73E-105,1,MNDA
PLBD1,4.33E-109,4.391291984,0.343,0.031,5.94E-105,1,PLBD1
APOBEC3A,3.86E-108,3.359795557,0.422,0.059,5.30E-104,1,APOBEC3A
CTSH,1.58E-100,2.692955979,0.501,0.105,2.17E-96,1,CTSH
IFI6,8.28E-100,1.904131999,0.773,0.321,1.14E-95,1,IFI6
CTSB,3.00E-99,2.784889973,0.53,0.127,4.12E-95,1,CTSB
NEAT1,1.75E-98,1.483184715,0.917,0.578,2.41E-94,1,NEAT1
CPVL,2.47E-97,3.421062855,0.385,0.056,3.38E-93,1,CPVL
ODF3B,9.03E-95,3.281477991,0.393,0.061,1.24E-90,1,ODF3B
AP2S1,6.59E-94,1.984089582,0.701,0.276,9.04E-90,1,AP2S1
TGFBI,2.70E-90,3.337622056,0.36,0.051,3.71E-86,1,TGFBI
SMCO4,4.42E-89,3.39416611,0.356,0.05,6.06E-85,1,SMCO4
LILRA5,7.15E-89,2.81685747,0.385,0.061,9.80E-85,1,LILRA5
TMEM176B,6.48E-87,4.123269965,0.266,0.021,8.88E-83,1,TMEM176B
SH3BGRL3,2.52E-86,0.915925548,0.973,0.833,3.45E-82,1,SH3BGRL3
HLA-DRA,5.15E-85,0.839204269,0.942,0.475,7.06E-81,1,HLA-DRA
CD33,1.32E-84,3.891227044,0.281,0.027,1.82E-80,1,CD33
RAB32,3.19E-84,3.73767511,0.308,0.037,4.37E-80,1,RAB32
ARPC1B,6.90E-81,1.207726926,0.927,0.708,9.46E-77,1,ARPC1B
ANXA2,5.22E-79,1.60175735,0.761,0.365,7.16E-75,1,ANXA2
TMSB10,5.55E-79,0.578948435,1,0.992,7.62E-75,1,TMSB10
C1orf162,1.50E-78,1.588496934,0.736,0.312,2.06E-74,1,C1orf162
STX11,8.63E-78,2.874185103,0.393,0.076,1.18E-73,1,STX11
IL8,9.27E-78,4.329699048,0.277,0.031,1.27E-73,1,IL8
CAPG,1.65E-76,2.082429674,0.538,0.165,2.27E-72,1,CAPG
RGS2,4.87E-76,1.954543919,0.599,0.206,6.68E-72,1,RGS2
CEBPB,2.67E-75,1.640366049,0.665,0.248,3.66E-71,1,CEBPB
PLAUR,1.34E-74,2.944680115,0.36,0.067,1.84E-70,1,PLAUR
SRGN,1.60E-74,1.158228852,0.873,0.538,2.19E-70,1,SRGN
VIM,5.07E-74,1.15414939,0.921,0.775,6.95E-70,1,VIM
LY86,5.29E-74,2.12367699,0.484,0.127,7.25E-70,1,LY86
KLF4,6.92E-74,2.907012816,0.36,0.067,9.49E-70,1,KLF4
AGTRAP,7.09E-73,2.534996028,0.414,0.095,9.73E-69,1,AGTRAP
ATP6V0B,1.44E-72,2.091077203,0.651,0.268,1.98E-68,1,ATP6V0B
CCL3,8.08E-71,2.84145459,0.389,0.085,1.11E-66,1,CCL3
ARPC3,1.33E-70,0.938287802,0.944,0.789,1.83E-66,1,ARPC3
IL1B,1.59E-70,3.812242018,0.274,0.036,2.18E-66,1,IL1B
C19orf38,2.65E-68,2.998297186,0.32,0.056,3.64E-64,1,C19orf38
BLVRA,4.77E-68,2.695705795,0.455,0.126,6.55E-64,1,BLVRA
ATP5G2,6.23E-68,0.953469981,0.933,0.798,8.54E-64,1,ATP5G2
MSRB1,5.60E-67,2.736705163,0.326,0.059,7.69E-63,1,MSRB1
HLA-DRB1,6.78E-67,1.00644449,0.832,0.377,9.30E-63,1,HLA-DRB1
CTSZ,3.13E-66,2.549963249,0.333,0.064,4.30E-62,1,CTSZ
S100A10,2.52E-65,1.296283631,0.844,0.597,3.45E-61,1,S100A10
LINC00936,3.90E-65,2.303839333,0.572,0.215,5.35E-61,1,LINC00936
FGR,1.18E-64,1.750152955,0.501,0.153,1.61E-60,1,FGR
PRELID1,4.07E-62,1.488793364,0.748,0.408,5.58E-58,1,PRELID1
PGD,1.90E-61,2.670747277,0.333,0.07,2.61E-57,1,PGD
HCK,1.84E-60,1.979984937,0.393,0.096,2.52E-56,1,HCK
MAFB,4.88E-60,3.337494421,0.293,0.055,6.69E-56,1,MAFB
CTSD,5.25E-60,1.924167619,0.516,0.181,7.20E-56,1,CTSD
FGL2,6.37E-60,2.959611949,0.347,0.077,8.73E-56,1,FGL2
MPEG1,1.49E-59,2.77688393,0.314,0.063,2.04E-55,1,MPEG1
MT-ND1,2.53E-59,0.717846839,0.979,0.939,3.47E-55,1,MT-ND1
SERF2,2.96E-59,0.866206467,0.956,0.834,4.05E-55,1,SERF2
NFKBIA,4.26E-59,1.54047806,0.721,0.397,5.84E-55,1,NFKBIA
SCO2,4.87E-58,2.401789777,0.356,0.084,6.68E-54,1,SCO2
SLC11A1,7.81E-58,2.862337956,0.277,0.049,1.07E-53,1,SLC11A1
EIF4EBP1,1.34E-57,2.394568981,0.337,0.076,1.84E-53,1,EIF4EBP1
TIMP1,1.39E-57,1.269152018,0.632,0.261,1.91E-53,1,TIMP1
FCGR2A,8.94E-57,3.403501379,0.264,0.045,1.23E-52,1,FCGR2A
APLP2,4.09E-56,2.133672361,0.405,0.113,5.61E-52,1,APLP2
PILRA,5.09E-56,2.117015746,0.328,0.071,6.98E-52,1,PILRA
HLA-DRB5,5.27E-56,1.10217536,0.678,0.279,7.23E-52,1,HLA-DRB5
ACTB,1.10E-55,0.529593142,0.998,0.992,1.51E-51,1,ACTB
C20orf24,1.92E-55,1.725382488,0.582,0.249,2.63E-51,1,C20orf24
CNPY3,2.55E-55,1.887337331,0.553,0.218,3.49E-51,1,CNPY3
RNASE6,8.80E-54,2.327151661,0.295,0.058,1.21E-49,1,RNASE6
TBXAS1,1.22E-53,2.337025625,0.318,0.071,1.67E-49,1,TBXAS1
EIF4A1,1.40E-52,1.063241108,0.84,0.65,1.92E-48,1,EIF4A1
PFDN5,1.65E-52,0.72429899,0.983,0.911,2.27E-48,1,PFDN5
HLA-DMA,1.77E-52,1.331175335,0.553,0.202,2.42E-48,1,HLA-DMA
FKBP1A,1.89E-52,1.254822573,0.723,0.408,2.59E-48,1,FKBP1A
TMSB4X,2.01E-51,0.407313328,1,1,2.76E-47,1,TMSB4X
STXBP2,2.20E-50,1.659622875,0.499,0.188,3.01E-46,1,STXBP2
C5AR1,1.79E-49,2.911815715,0.277,0.059,2.46E-45,1,C5AR1
IFNGR2,2.38E-49,2.285093518,0.376,0.108,3.26E-45,1,IFNGR2
C4orf48,7.19E-49,2.170107428,0.372,0.112,9.87E-45,1,C4orf48
PGLS,1.68E-48,1.480075421,0.559,0.24,2.30E-44,1,PGLS
AMICA1,3.33E-48,1.560045976,0.52,0.206,4.56E-44,1,AMICA1
GCA,8.97E-48,1.952797439,0.328,0.087,1.23E-43,1,GCA
SERPINB1,1.36E-47,1.634669093,0.62,0.309,1.86E-43,1,SERPINB1
ISG15,1.75E-46,1.373076098,0.692,0.394,2.41E-42,1,ISG15
FOSB,2.61E-46,1.280148331,0.717,0.437,3.58E-42,1,FOSB
LAMTOR4,2.78E-46,1.128747233,0.765,0.466,3.81E-42,1,LAMTOR4
ASAH1,5.80E-46,1.575469799,0.495,0.191,7.96E-42,1,ASAH1
ALDOA,5.77E-45,0.936485127,0.844,0.677,7.91E-41,1,ALDOA
CYBB,4.93E-44,2.385460947,0.283,0.069,6.77E-40,1,CYBB
MT-CO1,2.02E-43,0.472647428,0.996,0.994,2.77E-39,1,MT-CO1
CPPED1,3.78E-43,2.217866922,0.274,0.065,5.19E-39,1,CPPED1
H2AFY,4.24E-43,1.923797505,0.534,0.245,5.82E-39,1,H2AFY
GLRX,7.59E-43,1.474511115,0.626,0.32,1.04E-38,1,GLRX
LGALS9,2.85E-42,1.743395946,0.387,0.128,3.91E-38,1,LGALS9
ATP6V1F,5.78E-42,1.569654057,0.615,0.319,7.92E-38,1,ATP6V1F
VAMP8,5.01E-41,0.908225399,0.715,0.462,6.87E-37,1,VAMP8
LRRC25,1.27E-40,1.995373811,0.27,0.066,1.75E-36,1,LRRC25
TCEB2,1.29E-40,1.209454605,0.719,0.436,1.77E-36,1,TCEB2
HLA-DPA1,2.36E-40,0.833239236,0.763,0.433,3.23E-36,1,HLA-DPA1
